utc_dt_naive,ut_p_kw,ut_pos_ltea_kwh,ut_neg_ltea_kwh,ba_p_kw,ba_pos_ltea_kwh,ba_neg_ltea_kwh,pv_p_kw,pv_pos_ltea_kwh,pv_neg_ltea_kwh
2021-01-10 21:00:00,,,,,,,,,
2021-01-10 21:00:01,398.20000000000005,2383104.0648714285,34134.19394023234,-187.4,135876.89010995036,189516.6562256051,45.65,658886.0683859185,3.5
2021-01-10 21:00:03,283.18,2383104.222208195,34134.19394023234,-43.72,135876.89010995036,189516.68052764548,45.730000000000004,658886.0937813763,3.5
2021-01-10 21:00:05,254.06,2383104.361050355,34134.19394023234,-42.11,135876.89010995036,189516.70355588556,45.82,658886.1188221326,3.5
2021-01-10 21:00:08,254.85,2383104.571012375,34134.19394023234,-42.13,135876.89010995036,189516.73837160098,45.92,658886.1567379634,3.5
2021-01-10 21:00:10,253.66,2383104.691700716,34134.19394023234,-42.19,135876.89010995036,189516.75843409338,46.0,658886.1786153013,3.5
2021-01-10 21:00:12,-24.676000000000002,2383104.69172676,34134.203015507206,240.35,135877.03363653636,189516.75843783084,46.12,658886.2061275833,3.5
2021-01-10 21:00:14,-29.371000000000002,2383104.69172676,34134.213517606615,240.47,135877.1323121765,189516.75843783084,46.21,658886.2250972557,3.5
2021-01-10 21:00:16,-27.402,2383104.69172676,34134.23417986172,240.52,135877.31367327485,189516.75843783084,46.36,658886.2600298637,3.5
2021-01-10 21:00:18,-28.5,2383104.69172676,34134.24764273807,240.45000000000002,135877.42643462433,189516.75843783084,46.39,658886.2817833113,3.5
2021-01-10 21:00:20,-31.73,2383104.69172676,34134.26471724683,240.39000000000001,135877.56017836372,189516.75843783084,46.53,658886.3076519577,3.5
2021-01-10 21:00:22,-30.060000000000002,2383104.69172676,34134.28045598634,240.54,135877.6812051276,189516.75843783084,46.61,658886.331113933,3.5
2021-01-10 21:00:24,-30.16,2383104.69172676,34134.30002920204,240.5,135877.8327597224,189516.75843783084,46.72,658886.3605228857,3.5
2021-01-10 21:00:26,-32.7,2383104.69172676,34134.31999700725,240.53,135877.98167621673,189516.75843783084,46.84,658886.3895057524,3.5
2021-01-10 21:00:28,,,,240.55,135878.11530872202,189516.75843783084,46.910000000000004,658886.4155572277,3.5
2021-01-10 21:00:30,-28.607,2383104.69172676,34134.350942631776,240.52,135878.22767386909,189516.75843783084,47.02,658886.4375115077,3.5
2021-01-10 21:00:32,-27.313,2383104.69172676,34134.36464617766,240.56,135878.3441799261,189516.75843783084,47.08,658886.4602937852,3.5
2021-01-10 21:00:34,-29.067,2383104.69172676,34134.380435834544,240.54,135878.48120437,189516.75843783084,47.22,658886.4871908047,3.5
